CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
01.657.856/0001-05;2020-12-01;1;2021-03-31;SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCTF003;4200000;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.;01657856000105;AV. DAS NAÇÕES UNIDAS;11.857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
02.027.437/0001-44;2020-12-01;1;2021-03-31;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;140000;N;S;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;02.027.437/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
02.508.235/0001-14;2020-12-01;1;2021-03-31;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;N;S;Renda;Logística;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;02.508.235/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
03.251.720/0001-18;2020-12-01;1;2021-03-24;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO  ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA.;03.251.720/000;Avenida Brigadeiro Faria Lima;1.800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
03.507.519/0001-59;2020-12-01;1;2021-03-31;FUNDO DE INV. IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;03.507.519/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
03.683.056/0001-86;2020-12-01;1;2021-03-31;FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-01-12;INVESTIDORES EM GERAL;BRRCRBCTF000;3690695;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;03683056000186;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
03.855.441/0001-63;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA;2000-05-02;INVESTIDORES EM GERAL;BRRBRVCTF000;144210661;N;N;Desenvolvimento para Renda;Logística;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;03.855.441/000;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
04.066.582/0001-60;2020-12-01;1;2021-03-31;FII HOSPITAL DA CRIANÇA;2000-10-03;INVESTIDORES EM GERAL;BRHCRICTF006;200000;N;N;Renda;Hospital;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;04066582000160;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
04.141.645/0001-03;2020-12-01;1;2021-03-30;F I I CONTINENTAL SQUARE FARIA LIMA;2000-08-29;INVESTIDORES EM GERAL;BRFLMACTF009;69033500;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;04141645000103;AVENIDA NAÇÕES UNIDAS;11857;CJ. 111;BROOKLIN NOVO;SÃO PAULO;SP;04578908;11-5508.3500;;;WWW.BRCAPITAL.COM.BR;brcapital@brcapital.com.br
04.722.883/0001-02;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE;2001-10-10;INVESTIDORES EM GERAL;BRTRNTCTF013;3935561.97;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;04722883000102;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
04.782.236/0001-88;2020-12-01;1;2021-03-24;FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2001-08-24;INVESTIDOR QUALIFICADO E PROFISSIONAL;;3395484;S;N;Híbrido;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;COINVALORES C.C.V.M. LTDA;04782236000188;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451001;(11) 3035-4141;(11) 3035-4143;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
05.437.916/0001-27;2020-12-01;1;2021-03-24;FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR;2002-12-10;INVESTIDORES EM GERAL;BREUROCTF011;383936;N;N;Híbrido;Logística;Passiva;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA;05437916000127;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
05.562.312/0001-02;2020-12-01;2;2021-10-18;FII EDIFICIO ALMIRANTE BARROSO;2003-03-17;INVESTIDORES EM GERAL;BRFAMBCTF018;104800;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;05562312000102;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
06.175.262/0001-73;2020-12-01;1;2021-03-24;FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST;2004-05-04;INVESTIDORES EM GERAL;BREDFOCTF004;236000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;06175262000173;Avenida das Americas;3434;Bloco 07, Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;21 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
07.000.400/0001-46;2020-12-01;1;2021-03-30;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;2004-06-03;INVESTIDORES EM GERAL;BRBBFICTF006;130000;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;Dezembro;N;S;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07000400000146;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
07.122.725/0001-00;2020-12-01;1;2021-03-31;FII TORRE ALMIRANTE;2004-11-19;INVESTIDORES EM GERAL;BRALMICTF003;111177;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07122725000100;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
07.224.019/0001-60;2020-12-01;1;2021-03-31;.;2012-11-01;INVESTIDORES EM GERAL;BRSHDPCTF007;1436603;N;N;Renda;Shoppings;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07224019000160;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
07.583.627/0001-61;2020-12-01;1;2021-03-26;FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA;2005-06-23;INVESTIDOR QUALIFICADO;0;224952;S;N;Renda;Outros;Passiva;Indeterminado;;31/12;N;N;S;N;N;BANCO OURINVEST S.A.;07583627000161;Av. Paulista;1728;1º, 2º, 4º e 11º andares;Bela Vista;São Paulo;SP;01310-919;4081-4402;4081-4444;4081-4576;ourinvest.com.br;fundos.imobiliarios@ourinvest.com.br
07.789.135/0001-27;2020-12-01;2;2021-03-31;FII ANCAR IC;2005-12-21;INVESTIDORES EM GERAL;BRANCRCTF001;451113;N;N;Desenvolvimento para Renda;Shoppings;Ativa;Indeterminado;;31/12;N;N;S;N;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;07789135000127;PR BOTAFOGO;228;SALA 913 PARTE;Centro;Rio de Janeiro;RJ;22250-040;(21) 3923-3278;;;www.gerafuturo.com.br;middleadm@bancogenial.com
08.014.513/0001-63;2020-12-01;1;2021-03-31;FII HOSPITAL NOSSA SENHORA DE LOURDES;2006-04-20;INVESTIDORES EM GERAL;BRNSLUCTF008;1144800;N;N;Renda;Hospital;Passiva;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08014513000163;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
08.098.114/0001-28;2020-06-01;1;2020-09-29;HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-06-26;INVESTIDORES EM GERAL;BRPRGDCTF001;4409990;S;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;BRL TRUST DTVM S.A;08098114000128;RUA IGUATEMI;151;19 ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451011;(11)3133-0350;;;WWW.BRLTRUST.COM.BR;fii@brltrust.com.br
08.417.532/0001-30;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM;2006-08-14;INVESTIDORES EM GERAL;0;46971;N;N;Renda;Outros;Ativa;Indeterminado;;31/12;S;S;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;08.417.532/000;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
08.431.747/0001-06;2020-12-01;2;2021-04-16;HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-12-28;INVESTIDORES EM GERAL;BRHGBSCTF000;10000000;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;08431747000106;AVENIDA HORÁCIO LAFER;160;9º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 3124-4100;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
08.693.497/0001-82;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII;2011-01-31;INVESTIDORES EM GERAL;BRVERECTF002;550084;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;S;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;08693497000182;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
08.696.175/0001-97;2020-06-01;1;2020-09-28;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2009-11-30;INVESTIDORES EM GERAL;BRFIIPCTF001;927162;N;N;Renda;Híbrido;Passiva;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;08696175000197;Avenida das Américas;3.434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
08.706.065/0001-69;2020-12-01;1;2021-03-31;FII HOTEL MAXINVEST;2007-02-13;INVESTIDORES EM GERAL;BRHTMXCTF000;1257022;N;N;Renda;Hotel;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08706065000169;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
08.924.783/0001-01;2020-12-01;1;2021-03-31;FII BTG PACTUAL CORPORATE OFFICE FUND;2007-07-20;INVESTIDORES EM GERAL;BRBRCRCTF000;26638202;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08924783000101;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
09.006.914/0001-34;2020-12-01;1;2021-05-06;FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2007-08-13;INVESTIDORES EM GERAL;BRRBRDCTF008;1851786;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;S;N;S;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;09006914000134;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.bancobv.com.br;RI-VAM@bv.com.br
09.072.017/0001-29;2020-12-01;2;2021-03-15;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2008-06-05;INVESTIDORES EM GERAL;BRHGRECTF006;11817767;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.;09072017000129;RUA LEOPOLDO COUTO MAGALHAES JR;700;11º andar;ITAIM BIBI;SÃO PAULO;SP;04542-000;(11) 3701-8600;;;imobiliario.cshg.com.br;list.imobiliario@cshg.com.br
09.276.964/0001-31;2020-12-01;1;2021-03-31;FII PROPERTY INVEST;2008-01-11;INVESTIDOR PROFISSIONAL;0;1206204.149626;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS AS;09276964000131;Av Faria Lima;2277;17º andar;Vila Olimpia;São Paulo;SP;01452000;35141300;;;www.reag.com.br;silvano.gersztel@reag.com.br
09.326.861/0001-39;2020-12-01;1;2021-03-29;SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO;2008-01-17;INVESTIDORES EM GERAL;BRWPLZCTF004;1020747;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;09326861000139;AVENIDA HORÁCIO LAFER;160;9º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 3124-4100;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
09.350.920/0001-04;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO;2008-07-28;INVESTIDORES EM GERAL;BRSFNDCTF006;981472;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;09.350.920/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
09.517.273/0001-82;2020-03-01;1;2020-12-09;SEQUÓIA III RENDA IMOBILIÁRIA FII;2008-06-06;INVESTIDORES EM GERAL;BRSEQRCTF002;1182052.2720336;S;N;Renda;Outros;Ativa;Indeterminado;;31/03;S;N;N;S;N;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;09517273000182;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;01452-000;(11) 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
09.517.273/0001-82;2020-12-01;1;2021-05-19;SEQUÓIA III RENDA IMOBILIÁRIA FII;2008-06-06;INVESTIDORES EM GERAL;BRSEQRCTF002;1182052.2720336;S;N;Renda;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;09517273000182;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;01452-000;(11) 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
09.552.812/0001-14;2020-12-01;1;2021-03-31;FII BTG PACTUAL FUNDO DE CRI;2008-05-19;INVESTIDORES EM GERAL;BRFEXCCTF007;3421945;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;09552812000114;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
10.347.505/0001-80;2020-12-01;1;2021-05-07;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES;2010-01-14;INVESTIDOR QUALIFICADO;;193519.2724;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;S;N;N;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;10347505000180;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5096;;;www.bancobv.com.br;RI-VAM@bv.com.br
10.347.985/0001-80;2020-12-01;1;2021-03-29;CIDADE JARDIM CONTINENTAL TOWER FII;2010-12-22;INVESTIDOR QUALIFICADO;BRCJCTCTF001;2710000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;10347985000180;AVENIDA HORÁCIO LAFER;160;9º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 3124-4100;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
10.375.382/0001-91;2020-12-01;1;2021-03-31;FII FLORIPA SHOPPING;2009-09-21;INVESTIDORES EM GERAL;BRFLRPCTF006;65232;N;N;Renda;Shoppings;Ativa;Indeterminado;;Dezembro;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;10375382000191;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
10.410.463/0001-85;2020-12-01;1;2021-03-31;ITACOATIARA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2010-12-21;INVESTIDOR QUALIFICADO;0;1000000;S;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;10410463000185;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;investfundos@planner.com.br
